dimer,monomerA,monomerB,reference
13.95,13A,13B,-6.110000
13.100,13A,13B,-6.180000
13.105,13A,13B,-6.030000
13.110,13A,13B,-5.740000
13.125,13A,13B,-4.600000
13.150,13A,13B,-2.950000
13.200,13A,13B,-1.300000
14.90,14A,14B,-6.810000
14.95,14A,14B,-7.340000
14.100,14A,14B,-7.450000
14.105,14A,14B,-7.290000
14.110,14A,14B,-6.970000
14.125,14A,14B,-5.610000
14.150,14A,14B,-3.550000
14.200,14A,14B,-1.490000
15.90,15A,15B,-8.020000
15.95,15A,15B,-8.530000
15.100,15A,15B,-8.620000
15.105,15A,15B,-8.450000
15.110,15A,15B,-8.100000
15.125,15A,15B,-6.660000
15.150,15A,15B,-4.420000
15.200,15A,15B,-1.770000
16.90,16A,16B,-4.700000
16.95,16A,16B,-5.060000
16.100,16A,16B,-5.120000
16.105,16A,16B,-4.980000
16.110,16A,16B,-4.740000
16.125,16A,16B,-3.790000
16.150,16A,16B,-2.450000
16.200,16A,16B,-1.130000
17.90,17A,17B,-15.70000
17.95,17A,17B,-16.90000
17.100,17A,17B,-17.18000
17.105,17A,17B,-16.86000
17.110,17A,17B,-16.17000
17.125,17A,17B,-13.15000
17.150,17A,17B,-8.350000
17.200,17A,17B,-3.330000
18.90,18A,18B,-6.390000
18.95,18A,18B,-6.800000
18.100,18A,18B,-6.830000
18.105,18A,18B,-6.620000
18.110,18A,18B,-6.270000
18.125,18A,18B,-4.930000
18.150,18A,18B,-3.010000
18.200,18A,18B,-1.190000
19.90,19A,19B,-6.780000
19.95,19A,19B,-7.310000
19.100,19A,19B,-7.400000
19.105,19A,19B,-7.230000
19.110,19A,19B,-6.880000
19.125,19A,19B,-5.480000
19.150,19A,19B,-3.380000
19.200,19A,19B,-1.330000
20.90,20A,20B,-17.45000
20.95,20A,20B,-18.79000
20.100,20A,20B,-19.09000
20.105,20A,20B,-18.72000
20.110,20A,20B,-17.94000
20.125,20A,20B,-14.56000
20.150,20A,20B,-9.210000
20.200,20A,20B,-3.590000
21.90,21A,21B,-14.93000
21.95,21A,21B,-16.03000
21.100,21A,21B,-16.26000
21.105,21A,21B,-15.94000
21.110,21A,21B,-15.26000
21.125,21A,21B,-12.42000
21.150,21A,21B,-8.000000
21.200,21A,21B,-3.000000
22.90,22A,22B,-17.90000
22.95,22A,22B,-19.19000
22.100,22A,22B,-19.49000
22.105,22A,22B,-19.15000
22.110,22A,22B,-18.41000
22.125,22A,22B,-15.14000
22.150,22A,22B,-9.860000
22.200,22A,22B,-4.150000
23.90,23A,23B,-17.70000
23.95,23A,23B,-18.89000
23.100,23A,23B,-19.19000
23.105,23A,23B,-18.90000
23.110,23A,23B,-18.22000
23.125,23A,23B,-15.21000
23.150,23A,23B,-10.23000
23.200,23A,23B,-4.650000
24.90,24A,24B,-0.230000
24.95,24A,24B,-2.070000
24.100,24A,24B,-2.740000
24.105,24A,24B,-2.800000
24.110,24A,24B,-2.580000
24.125,24A,24B,-1.540000
24.150,24A,24B,-0.490000
24.200,24A,24B,-0.060000
25.90,25A,25B,-1.320000
25.95,25A,25B,-3.170000
25.100,25A,25B,-3.830000
25.105,25A,25B,-3.860000
25.110,25A,25B,-3.580000
25.125,25A,25B,-2.360000
25.150,25A,25B,-0.960000
25.200,25A,25B,-0.240000
26.90,26A,26B,-7.860000
26.95,26A,26B,-9.500000
26.100,26A,26B,-9.820000
26.105,26A,26B,-9.430000
26.110,26A,26B,-8.690000
26.125,26A,26B,-6.070000
26.150,26A,26B,-3.100000
26.200,26A,26B,-0.990000
27.90,27A,27B,-0.730000
27.95,27A,27B,-2.690000
27.100,27A,27B,-3.370000
27.105,27A,27B,-3.400000
27.110,27A,27B,-3.130000
27.125,27A,27B,-1.970000
27.150,27A,27B,-0.720000
27.200,27A,27B,-0.150000
28.90,28A,28B,-3.530000
28.95,28A,28B,-5.220000
28.100,28A,28B,-5.710000
28.105,28A,28B,-5.550000
28.110,28A,28B,-5.080000
28.125,28A,28B,-3.290000
28.150,28A,28B,-1.360000
28.200,28A,28B,-0.250000
29.90,29A,29B,-3.740000
29.95,29A,29B,-6.170000
29.100,29A,29B,-6.810000
29.105,29A,29B,-6.580000
29.110,29A,29B,-5.970000
29.125,29A,29B,-3.870000
29.150,29A,29B,-1.780000
29.200,29A,29B,-0.530000
30.90,30A,30B,-0.260000
30.95,30A,30B,-1.130000
30.100,30A,30B,-1.410000
30.105,30A,30B,-1.400000
30.110,30A,30B,-1.260000
30.125,30A,30B,-0.690000
30.150,30A,30B,-0.170000
30.200,30A,30B,-0.01000
31.90,31A,31B,-2.570000
31.95,31A,31B,-3.240000
31.100,31A,31B,-3.380000
31.105,31A,31B,-3.240000
31.110,31A,31B,-2.960000
31.125,31A,31B,-1.990000
31.150,31A,31B,-0.930000
31.200,31A,31B,-0.250000
32.90,32A,32B,-2.790000
32.95,32A,32B,-3.560000
32.100,32A,32B,-3.740000
32.105,32A,32B,-3.590000
32.110,32A,32B,-3.290000
32.125,32A,32B,-2.230000
32.150,32A,32B,-1.040000
32.200,32A,32B,-0.270000
33.90,33A,33B,-0.890000
33.95,33A,33B,-1.620000
33.100,33A,33B,-1.860000
33.105,33A,33B,-1.830000
33.110,33A,33B,-1.670000
33.125,33A,33B,-1.030000
33.150,33A,33B,-0.370000
33.200,33A,33B,-0.050000
34.90,34A,34B,-2.860000
34.95,34A,34B,-3.620000
34.100,34A,34B,-3.770000
34.105,34A,34B,-3.610000
34.110,34A,34B,-3.300000
34.125,34A,34B,-2.240000
34.150,34A,34B,-1.050000
34.200,34A,34B,-0.270000
35.90,35A,35B,-1.850000
35.95,35A,35B,-2.490000
35.100,35A,35B,-2.610000
35.105,35A,35B,-2.480000
35.110,35A,35B,-2.250000
35.125,35A,35B,-1.500000
35.150,35A,35B,-0.700000
35.200,35A,35B,-0.180000
36.90,36A,36B,-1.450000
36.95,36A,36B,-1.740000
36.100,36A,36B,-1.770000
36.105,36A,36B,-1.680000
36.110,36A,36B,-1.540000
36.125,36A,36B,-1.050000
36.150,36A,36B,-0.500000
36.200,36A,36B,-0.140000
37.90,37A,37B,-1.610000
37.95,37A,37B,-2.250000
37.100,37A,37B,-2.410000
37.105,37A,37B,-2.330000
37.110,37A,37B,-2.140000
37.125,37A,37B,-1.470000
37.150,37A,37B,-0.710000
37.200,37A,37B,-0.190000
38.90,38A,38B,-2.240000
38.95,38A,38B,-2.840000
38.100,38A,38B,-3.000000
38.105,38A,38B,-2.860000
38.110,38A,38B,-2.600000
38.125,38A,38B,-1.710000
38.150,38A,38B,-0.790000
38.200,38A,38B,-0.200000
39.90,39A,39B,-2.160000
39.95,39A,39B,-3.240000
39.100,39A,39B,-3.570000
39.105,39A,39B,-3.470000
39.110,39A,39B,-3.170000
39.125,39A,39B,-2.070000
39.150,39A,39B,-0.900000
39.200,39A,39B,-0.190000
40.90,40A,40B,-1.860000
40.95,40A,40B,-2.680000
40.100,40A,40B,-2.890000
40.105,40A,40B,-2.800000
40.110,40A,40B,-2.570000
40.125,40A,40B,-1.700000
40.150,40A,40B,-0.770000
40.200,40A,40B,-0.190000
41.90,41A,41B,-3.830000
41.95,41A,41B,-4.690000
41.100,41A,41B,-4.840000
41.105,41A,41B,-4.600000
41.110,41A,41B,-4.080000
41.125,41A,41B,-2.440000
41.150,41A,41B,-0.980000
41.200,41A,41B,-0.210000
42.90,42A,42B,-3.050000
42.95,42A,42B,-3.970000
42.100,42A,42B,-4.130000
42.105,42A,42B,-3.920000
42.110,42A,42B,-3.540000
42.125,42A,42B,-2.290000
42.150,42A,42B,-1.020000
42.200,42A,42B,-0.250000
43.90,43A,43B,-2.870000
43.95,43A,43B,-3.600000
43.100,43A,43B,-3.700000
43.105,43A,43B,-3.490000
43.110,43A,43B,-3.150000
43.125,43A,43B,-2.050000
43.150,43A,43B,-0.920000
43.200,43A,43B,-0.230000
44.90,44A,44B,-1.660000
44.95,44A,44B,-1.970000
44.100,44A,44B,-1.990000
44.105,44A,44B,-1.860000
44.110,44A,44B,-1.670000
44.125,44A,44B,-1.090000
44.150,44A,44B,-0.490000
44.200,44A,44B,-0.120000
45.90,45A,45B,-1.130000
45.95,45A,45B,-1.630000
45.100,45A,45B,-1.750000
45.105,45A,45B,-1.680000
45.110,45A,45B,-1.520000
45.125,45A,45B,-0.980000
45.150,45A,45B,-0.420000
45.200,45A,45B,-0.100000
46.90,46A,46B,-3.750000
46.95,46A,46B,-4.210000
46.100,46A,46B,-4.240000
46.105,46A,46B,-4.050000
46.110,46A,46B,-3.730000
46.125,46A,46B,-2.630000
46.150,46A,46B,-1.190000
46.200,46A,46B,-0.290000
47.90,47A,47B,-1.640000
47.95,47A,47B,-2.580000
47.100,47A,47B,-2.870000
47.105,47A,47B,-2.820000
47.110,47A,47B,-2.600000
47.125,47A,47B,-1.770000
47.150,47A,47B,-0.830000
47.200,47A,47B,-0.220000
48.90,48A,48B,-2.530000
48.95,48A,48B,-3.310000
48.100,48A,48B,-3.530000
48.105,48A,48B,-3.450000
48.110,48A,48B,-3.220000
48.125,48A,48B,-2.290000
48.150,48A,48B,-1.180000
48.200,48A,48B,-0.370000
49.90,49A,49B,-2.090000
49.95,49A,49B,-3.040000
49.100,49A,49B,-3.320000
49.105,49A,49B,-3.260000
49.110,49A,49B,-3.020000
49.125,49A,49B,-2.100000
49.150,49A,49B,-1.050000
49.200,49A,49B,-0.330000
50.90,50A,50B,-1.870000
50.95,50A,50B,-2.650000
50.100,50A,50B,-2.860000
50.105,50A,50B,-2.790000
50.110,50A,50B,-2.580000
50.125,50A,50B,-1.790000
50.150,50A,50B,-0.890000
50.200,50A,50B,-0.270000
51.90,51A,51B,-1.210000
51.95,51A,51B,-1.470000
51.100,51A,51B,-1.520000
51.105,51A,51B,-1.460000
51.110,51A,51B,-1.350000
51.125,51A,51B,-0.930000
51.150,51A,51B,-0.460000
51.200,51A,51B,-0.140000
52.90,52A,52B,-3.970000
52.95,52A,52B,-4.580000
52.100,52A,52B,-4.700000
52.105,52A,52B,-4.550000
52.110,52A,52B,-4.250000
52.125,52A,52B,-3.130000
52.150,52A,52B,-1.700000
52.200,52A,52B,-0.550000
53.90,53A,53B,-3.790000
53.95,53A,53B,-4.270000
53.100,53A,53B,-4.360000
53.105,53A,53B,-4.230000
53.110,53A,53B,-3.970000
53.125,53A,53B,-2.970000
53.150,53A,53B,-1.650000
53.200,53A,53B,-0.480000
54.90,54A,54B,-2.800000
54.95,54A,54B,-3.210000
54.100,54A,54B,-3.270000
54.105,54A,54B,-3.130000
54.110,54A,54B,-2.900000
54.125,54A,54B,-2.100000
54.150,54A,54B,-1.160000
54.200,54A,54B,-0.420000
55.90,55A,55B,-3.450000
55.95,55A,55B,-4.050000
55.100,55A,55B,-4.190000
55.105,55A,55B,-4.070000
55.110,55A,55B,-3.800000
55.125,55A,55B,-2.800000
55.150,55A,55B,-1.530000
55.200,55A,55B,-0.520000
56.90,56A,56B,-2.510000
56.95,56A,56B,-3.090000
56.100,56A,56B,-3.230000
56.105,56A,56B,-3.120000
56.110,56A,56B,-2.860000
56.125,56A,56B,-1.950000
56.150,56A,56B,-0.940000
56.200,56A,56B,-0.260000
57.90,57A,57B,-3.750000
57.95,57A,57B,-4.960000
57.100,57A,57B,-5.280000
57.105,57A,57B,-5.140000
57.110,57A,57B,-4.780000
57.125,57A,57B,-3.410000
57.150,57A,57B,-1.800000
57.200,57A,57B,-0.620000
58.90,58A,58B,-2.800000
58.95,58A,58B,-3.820000
58.100,58A,58B,-4.150000
58.105,58A,58B,-3.890000
58.110,58A,58B,-3.450000
58.125,58A,58B,-2.180000
58.150,58A,58B,-1.010000
58.200,58A,58B,-0.280000
59.90,59A,59B,-2.520000
59.95,59A,59B,-2.800000
59.100,59A,59B,-2.850000
59.105,59A,59B,-2.760000
59.110,59A,59B,-2.600000
59.125,59A,59B,-1.980000
59.150,59A,59B,-1.170000
59.200,59A,59B,-0.460000
60.90,60A,60B,-4.280000
60.95,60A,60B,-4.780000
60.100,60A,60B,-4.860000
60.105,60A,60B,-4.690000
60.110,60A,60B,-4.390000
60.125,60A,60B,-3.260000
60.150,60A,60B,-1.770000
60.200,60A,60B,-0.560000
61.90,61A,61B,-2.700000
61.95,61A,61B,-2.900000
61.100,61A,61B,-2.880000
61.105,61A,61B,-2.730000
61.110,61A,61B,-2.520000
61.125,61A,61B,-1.790000
61.150,61A,61B,-0.780000
61.200,61A,61B,-0.170000
62.90,62A,62B,-3.150000
62.95,62A,62B,-3.500000
62.100,62A,62B,-3.510000
62.105,62A,62B,-3.320000
62.110,62A,62B,-3.040000
62.125,62A,62B,-2.120000
62.150,62A,62B,-1.040000
62.200,62A,62B,-0.270000
63.90,63A,63B,-2.730000
63.95,63A,63B,-3.600000
63.100,63A,63B,-3.800000
63.105,63A,63B,-3.650000
63.110,63A,63B,-3.340000
63.125,63A,63B,-2.240000
63.150,63A,63B,-1.020000
63.200,63A,63B,-0.260000
64.90,64A,64B,-2.600000
64.95,64A,64B,-2.950000
64.100,64A,64B,-2.990000
64.105,64A,64B,-2.850000
64.110,64A,64B,-2.630000
64.125,64A,64B,-1.860000
64.150,64A,64B,-0.880000
64.200,64A,64B,-0.190000
65.90,65A,65B,-3.540000
65.95,65A,65B,-3.910000
65.100,65A,65B,-3.990000
65.105,65A,65B,-3.890000
65.110,65A,65B,-3.680000
65.125,65A,65B,-2.840000
65.150,65A,65B,-1.670000
65.200,65A,65B,-0.620000
66.90,66A,66B,-3.450000
66.95,66A,66B,-3.880000
66.100,66A,66B,-3.970000
66.105,66A,66B,-3.850000
66.110,66A,66B,-3.620000
66.125,66A,66B,-2.710000
66.150,66A,66B,-1.500000
66.200,66A,66B,-0.490000
